Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.02     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.02     0.00        2     0.00     0.00  std::__new_allocator<int>::__new_allocator(std::__new_allocator<int> const&)
  0.00      0.02     0.00        2     0.00     0.00  std::fpos<__mbstate_t>::fpos(long)
  0.00      0.02     0.00        2     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::vector()
  0.00      0.02     0.00        2     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  postorder_delete(HCNode*)
  0.00      0.02     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.02     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.02     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.02     0.00        1     0.00     0.00  FancyInputStream::FancyInputStream(char const*)
  0.00      0.02     0.00        1     0.00     0.00  FancyInputStream::~FancyInputStream()
  0.00      0.02     0.00        1     0.00     0.00  FancyOutputStream::flush()
  0.00      0.02     0.00        1     0.00     0.00  FancyOutputStream::FancyOutputStream(char const*)
  0.00      0.02     0.00        1     0.00     0.00  FancyOutputStream::~FancyOutputStream()
  0.00      0.02     0.00        1     0.00     0.00  HCTree::build(std::vector<int, std::allocator<int> > const&)
  0.00      0.02     0.00        1     0.00     0.00  HCTree::HCTree()
  0.00      0.02     0.00        1     0.00     0.00  HCTree::~HCTree()
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::get_allocator() const
  0.00      0.02     0.00        1     0.00     0.00  std::__new_allocator<int>::max_size() const
  0.00      0.02     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_create_storage(unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_base(std::allocator<HCNode*> const&)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_base(unsigned long, std::allocator<HCNode*> const&)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.02     0.00        1     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::priority_queue<std::vector<HCNode*, std::allocator<HCNode*> >, void>()
  0.00      0.02     0.00        1     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::~priority_queue()
  0.00      0.02     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.02     0.00        1     0.00     0.00  HCNode** std::__uninitialized_fill_n<true>::__uninit_fill_n<HCNode**, unsigned long, HCNode*>(HCNode**, unsigned long, HCNode* const&)
  0.00      0.02     0.00        1     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.02     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_move_assign(std::vector<HCNode*, std::allocator<HCNode*> >&&, std::integral_constant<bool, true>)
  0.00      0.02     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_check_init_len(unsigned long, std::allocator<HCNode*> const&)
  0.00      0.02     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_fill_initialize(unsigned long, HCNode* const&)
  0.00      0.02     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::vector(std::allocator<HCNode*> const&)
